optimizer_category,problem_type,optimizer_name,problem_name,best_result,best_step,used_budget,error_message,runtime,seed,efficiency
g,a,GA,xgb-9952,0.0,10.0,78.0,,,105,0.5555555555555556
a,a,Hyperband,xgb-9952,0.0,127.0,26.98600000000001,,,105,0.4441111111111112
a,a,HEBO,xgb-9952,0.0,9.0,79.0,,,105,0.8888888888888888
a,a,ParamILS,xgb-9952,0.0,10.0,67.0,,,105,0.5555555555555556
g,a,CMAES,xgb-9952,0.0,32.0,79.0,,,105,0.7777777777777778
g,a,RandomSearch,xgb-9952,0.0,10.0,79.0,,,105,0.5555555555555556
g,a,ACO,xgb-9952,0.01,9.0,66.0,,,105,1.0
g,a,HillClimbing,xgb-9952,0.0,2.0,36.0,,,105,0.2222222222222222
a,a,SMAC,xgb-9952,0.0,13.0,79.0,,,105,0.8888888888888888
g,a,DE,xgb-9952,0.0,10.0,79.0,,,105,0.5555555555555556
a,a,HABO,xgb-9952,0.0,76.0,79.0,,,105,4.444444444444445
g,a,SA,xgb-9952,0.0,2.0,79.0,,,105,0.2222222222222222
g,a,BO,xgb-9952,0.0,10.0,79.0,,,105,0.5555555555555556
g,a,BO,nn-146822,0.01,4.0,161.0,,,105,0.1538461538461538
g,a,HillClimbing,nn-146822,0.0199999999999999,13.0,49.0,,,105,1.0
g,a,ES,nn-146822,0.0,139.0,161.0,,,105,0.1538461538461538
g,a,ACO,nn-146822,0.0,86.0,86.0,,,105,0.1538461538461538
g,a,GA,nn-146822,0.01,4.0,160.0,,,105,0.1538461538461538
a,a,ParamILS,nn-146822,0.01,4.0,68.0,,,105,0.1538461538461538
a,a,HABO,nn-146822,0.0,37.0,161.0,,,105,0.4615384615384615
a,a,SMAC,nn-146822,0.0,135.0,161.0,,,105,0.1538461538461538
a,a,BOHB,nn-146822,0.0,1000.0,109.72839506172856,,,105,0.3846153846153847
g,a,DE,nn-146822,0.01,4.0,161.0,,,105,0.1538461538461538
a,a,HEBO,nn-146822,0.0,160.0,161.0,,,105,0.5384615384615384
g,a,SA,nn-146822,0.0,160.0,161.0,,,105,2.1538461538461537
a,a,GGA,nn-146822,0.01,32.0,161.0,,,105,0.2307692307692307
a,a,DEHB,nn-146822,0.01,159.0,8.925925925925927,,,105,0.3846153846153847
g,a,CMAES,nn-146822,0.0,50.0,141.0,,,105,0.1538461538461538
a,a,irace,nn-146822,0.0,56.0,161.0,,,105,0.1538461538461538
a,a,UQGuided,nn-146822,0.01,4.0,161.0,,,105,0.1538461538461538
g,a,PSO,nn-146822,0.01,4.0,138.0,,,105,0.1538461538461538
a,a,Hyperband,nn-146822,0.01,308.0,25.99999999999996,,,105,0.6923076923076924
g,a,RandomSearch,nn-146822,0.01,4.0,161.0,,,105,0.1538461538461538
g,s,ACO,kanzi,4.278,106.0,140.0,,,105,0.3076923076923077
g,s,PSO,kanzi,3.558,168.0,267.0,,,105,0.2307692307692307
s,s,PromiseTune,kanzi,4.2,72.0,311.0,,,105,0.3076923076923077
g,s,RandomSearch,kanzi,3.908,125.0,311.0,,,105,0.2307692307692307
g,s,GA,kanzi,3.558,159.0,310.0,,,105,0.2307692307692307
s,s,Tuneful,kanzi,7.528,33.0,70.0,,,105,0.7692307692307693
